Barcode,Creditcard,TapAndGo,Asset_ID,Meter_ID,Location_Description,Latitude,Longitude,Location
MPM1851919,Yes,Yes,1851919,853B,"Wellington Parade South between Wellington Crescent and Flinders Street, approximately 24m NE of Treasury Square Site, 295-357 Wellington Parade South, MELBOURNE VIC 3004",-37.8158514,144.9749618,"-37.8158514, 144.9749618"
MPM1851927,,Yes,1851927,493B,"Royal Parade between Morrah Street and Story Street, approximately 42m NW of The University of Melbourne, Faculty of Vet & Ag Science Building 142, 56 Royal Parade, PARKVILLE VIC 3010",-37.7965272,144.9582377,"-37.7965272, 144.9582377"
MPM1851928,Yes,Yes,1851928,494B,"Royal Parade between Grattan Street and Story Street, approximately 28m North of The Florey Inst. Of Neuroscience And Mental Health, Part Kenneth Myer Building 144, 30 Royal Parade, PARKVILLE VIC 3010",-37.7978353,144.9580348,"-37.7978353, 144.9580348"
MPM1851931,Yes,Yes,1851931,875B,"Clarendon Street between Hotham Street and Gipps Street, approximately 35m SW of Bishopscourt, 84-122 Clarendon Street, EAST MELBOURNE VIC 3002",-37.8130558,144.9829596,"-37.8130558, 144.9829596"
MPM1851933,Yes,Yes,1851933,851B,"Intersection of Wellington Parade South and Charles Street, approximately 20m North of 89 Wellington Parade South, EAST MELBOURNE VIC 3002",-37.8166602,144.9814031,"-37.8166602, 144.9814031"
MPM1851936,Yes,Yes,1851936,231C,"Peel Street between Queensberry Street and Elizabeth Street, approximately 5m SE of Media Arts Lawyers Pty Ltd, 187-189 Peel Street, NORTH MELBOURNE VIC 3051",-37.8033287,144.9562282,"-37.8033287, 144.9562282"
MPM1851947,Yes,Yes,1851947,773B,St Kilda Road between Dorcas Street and Domain Road,-37.8311873,144.9715073,"-37.8311873, 144.9715073"
MPM1860392,Yes,Yes,1860392,644A,"Little Bourke Street between Russell Street and Swanston Street, approximately 3m West of Mr Bo Restaurant, Shop 23, 219 Little Bourke Street, MELBOURNE VIC 3000",-37.8123008,144.9661424,"-37.8123008, 144.9661424"
MPM1860393,Yes,Yes,1860393,620A,"Collins Street between Swanston Street and Elizabeth Street, approximately 5m South of L'Occitane Australia, 280 Collins Street, MELBOURNE VIC 3000",-37.8159095,144.9647822,"-37.8159095, 144.9647822"
MPM1860395,Yes,Yes,1860395,620B,"Collins Street between Swanston Street and Elizabeth Street, approximately 5m NW of Tiffany & Co., Gnd, Mezzanine & Lvl 1, 267 Collins Street, MELBOURNE VIC 3000",-37.8160302,144.9650344,"-37.8160302, 144.9650344"
