Barcode,Creditcard,TapAndGo,Asset_ID,Meter_ID,Location_Description,Latitude,Longitude,Location
MPM1630378,Yes,Yes,1630378,871A,"Morrison Place between Victoria Parade and Albert Street, approximately 19m West of St Vincent's Health Australia Ltd, 14-18 Morrison Place, EAST MELBOURNE VIC 3002",-37.8090933,144.9765624,"-37.8090933, 144.9765624"
MPM1647109,Yes,Yes,1647109,800A,"St Kilda Road between Moubray Street and High Street, approximately 39m NW of Wesley College Melbourne, Wesley College, 567-581 St Kilda Road, MELBOURNE VIC 3004",-37.8484494,144.9800677,"-37.8484494, 144.9800677"
MPM1647119,Yes,Yes,1647119,811D,"Moubray Street between St Kilda Road and Punt Road, approximately 24m SE of Ormond Collective, 17 Moubray Street, MELBOURNE VIC 3004",-37.8480156,144.9814119,"-37.8480156, 144.9814119"
MPM1647129,Yes,Yes,1647129,884B,"Simpson Street between Grey Street and Albert Street, approximately 8m South of East Melbourne Tennis Academy, 155 Simpson Street, EAST MELBOURNE VIC 3002",-37.8116099,144.9885252,"-37.8116099, 144.9885252"
MPM1647136,Yes,Yes,1647136,802E,"St Kilda Road between Armadale Street and Commercial Road, approximately 27m SW of Mariner Travel Pty Ltd, Ground 473 St Kilda Road, MELBOURNE VIC 3004",-37.8418909,144.9777211,"-37.8418909, 144.9777211"
MPM1647140,Yes,Yes,1647140,365E,"Bouverie Street between Lincoln Square South and Pelham Street, approximately 3m SE of Carpark Ground 165 Bouverie Street, CARLTON VIC 3053",-37.8027478,144.961933,"-37.8027478, 144.961933"
MPM1647143,Yes,Yes,1647143,801F,"St Kilda Road between Commercial Road and Moubray Street, approximately 26m West of Spotless, Part Ground, Levels 1-2, 549 St Kilda Road, MELBOURNE VIC 3004",-37.8466506,144.9794151,"-37.8466506, 144.9794151"
MPM1647151,Yes,Yes,1647151,823D,"Kings Domain South, approximately 72m West of The Nursery and Works Yard, Royal Botanic Gardens Victoria, 48 Birdwood Avenue, MELBOURNE VIC 3004",-37.8325244,144.9782961,"-37.8325244, 144.9782961"
MPM1647154,Yes,Yes,1647154,859B,"Lansdowne Street between Albert Street and Victoria Parade, approximately 4m NW of 12 Lansdowne Street,",-37.8094152,144.9785245,"-37.8094152, 144.9785245"
MPM1647158,Yes,Yes,1647158,867C,"Albert Street between Nicholson Street and Gisborne Street, approximately 2m NW of St Peters Vicarage, 473 Albert Street, EAST MELBOURNE VIC 3002",-37.8095731,144.9747887,"-37.8095731, 144.9747887"
MPM1647172,Yes,Yes,1647172,765B,Wells Street between Grant Street and Miles Street,-37.8276594,144.9685954,"-37.8276594, 144.9685954"
MPM1647175,Yes,Yes,1647175,766A,"Wells Street between Miles Street and Coventry Street, approximately 66m SE of 6-12 Miles Street, SOUTHBANK VIC 3006",-37.828749,144.9687159,"-37.828749, 144.9687159"
MPM1647176,Yes,Yes,1647176,757A,"Moore Street between Miles Street and Kings Way, approximately 57m SW of Victorian College Of The Arts Secondary School, 55-65 Miles Street, SOUTHBANK VIC 3006",-37.8284894,144.9645873,"-37.8284894, 144.9645873"
MPM1647177,Yes,Yes,1647177,752B,"Haig Street between Clarendon Street and West Gate Freeway, approximately 24m West of 65-71 Haig Street, SOUTHBANK VIC 3006",-37.8277892,144.9561701,"-37.8277892, 144.9561701"
MPM1647183,Yes,Yes,1647183,785B,"Miles Street between Wells Street and Dodds Street, approximately 31m SW of 6-12 Miles Street, SOUTHBANK VIC 3006",-37.828702,144.9678544,"-37.828702, 144.9678544"
MPM1647184,Yes,Yes,1647184,757B,"Moore Street between Miles Street and Kings Way, approximately 62m West of Victorian College Of The Arts Secondary School, 55-65 Miles Street, SOUTHBANK VIC 3006",-37.8283498,144.9644792,"-37.8283498, 144.9644792"
MPM1647186,Yes,Yes,1647186,765F,"Wells Street between Grant Street and Miles Street, approximately 60m East of Grant Street Reserve, 25-45 Grant Street, SOUTHBANK VIC 3006",-37.8259178,144.9692902,"-37.8259178, 144.9692902"
MPM1647191,Yes,Yes,1647191,750D,"Whiteman Street between West Gate Freeway and Clarendon Street, approximately 53m East of Railway Revegetation Area, Rear 33 Meaden Street, SOUTHBANK VIC 3006",-37.8274161,144.9551837,"-37.8274161, 144.9551837"
MPM1647193,Yes,Yes,1647193,920A,"Seafarer Lane between Bourke Street and Collins Street, approximately 15m West of Gowrie @ The Harbour, 20 Seafarer Lane, DOCKLANDS VIC 3008",-37.8205362,144.9428961,"-37.8205362, 144.9428961"
MPM1647194,Yes,Yes,1647194,752C,"Haig Street between Clarendon Street and West Gate Freeway, approximately 2m SE of Launch Housing Southbank, Launch Housing, 52-70 Haig Street, SOUTHBANK VIC 3006",-37.8270983,144.9569733,"-37.8270983, 144.9569733"
MPM1647196,Yes,Yes,1647196,901B,"Aurora Lane between Bourke Street and Collins Street, approximately 31m North of Part Ground & Mezzanine, 710 Collins Street, DOCKLANDS VIC 3008",-37.8196872,144.9505883,"-37.8196872, 144.9505883"
MPM1647197,Yes,Yes,1647197,938A,"Brentani Way between Village Street and Georgiana Street, approximately 3m NW of San Xuan Cafe, 15 Brentani Way, DOCKLANDS VIC 3008",-37.8214445,144.9504141,"-37.8214445, 144.9504141"
MPM1647198,Yes,Yes,1647198,908B,"Harbour Esplanade between McCrae Street and Collins Street, approximately 37m South of Automotive Centre Of Excellence, 2-48 Harbour Esplanade, DOCKLANDS VIC 3008",-37.8220578,144.9478304,"-37.8220578, 144.9478304"
MPM1647201,Yes,Yes,1647201,901A,"Aurora Lane between Bourke Street and Collins Street, approximately 40m NW of Travelodge Hotel Melbourne Docklands, Travelodge Docklands, 66 Aurora Lane, DOCKLANDS VIC 3008",-37.8187687,144.9498896,"-37.8187687, 144.9498896"
MPM1647203,Yes,Yes,1647203,947D,"Collins Street between Merchant Street and Bourke Street, approximately 7m SE of An Di Docklands, 854 Collins Street, DOCKLANDS VIC 3008",-37.8211808,144.9440267,"-37.8211808, 144.9440267"
MPM1647205,Yes,Yes,1647205,947B,"Collins Street between Merchant Street and Bourke Street, approximately 5m SE of Teeny Tiny Cafe, 858 Collins Street, DOCKLANDS VIC 3008",-37.8210993,144.9436863,"-37.8210993, 144.9436863"
MPM1647207,Yes,Yes,1647207,944B,"Collins Street between Harbour Esplanade and Navigation Drive, approximately 25m West of Docklands Park, 1-91 Harbour Esplanade, DOCKLANDS VIC 3008",-37.8212446,144.9470394,"-37.8212446, 144.9470394"
MPM1647208,Yes,Yes,1647208,944A,"Collins Street between Harbour Esplanade and Navigation Drive, approximately 48m NW of Docklands Park, 1-91 Harbour Esplanade, DOCKLANDS VIC 3008",-37.8210702,144.946852,"-37.8210702, 144.946852"
MPM1647213,Yes,Yes,1647213,940C,"Approximately 4m North of Sergy Boy, Shop 1-2, 699 Collins Street, DOCKLANDS VIC 3008",-37.8199502,144.9514764,"-37.8199502, 144.9514764"
MPM1647220,Yes,Yes,1647220,753C,"Kavanagh Street between Southbank Boulevard and Power Street, approximately 71m North of State Coroner's Office, 65 Kavanagh Street, SOUTHBANK VIC 3006",-37.8235144,144.9647934,"-37.8235144, 144.9647934"
MPM1647230,Yes,Yes,1647230,774A,"Intersection of St Kilda Road and Anzac Avenue, approximately 10m NE of Department Of Defence, Victoria Barracks Melbourne, 256-310 St Kilda Road, SOUTHBANK VIC 3006",-37.8272642,144.9711265,"-37.8272642, 144.9711265"
MPM1647232,Yes,Yes,1647232,772A,"St Kilda Road between Wadey Street and Anzac Avenue, approximately 61m South of Part Suite 1, Ground 250 St Kilda Road, SOUTHBANK VIC 3006",-37.8263773,144.9710215,"-37.8263773, 144.9710215"
MPM1647236,Yes,Yes,1647236,950A,"Bourke Street between Cumberland Street and Collins Street, approximately 8m SW of Golden Express Supermarket, 862 Bourke Street, DOCKLANDS VIC 3008",-37.8202019,144.9421641,"-37.8202019, 144.9421641"
MPM1647239,Yes,Yes,1647239,913A,"Karlsruhe Lane between Collins Street and Keera Way, approximately 26m SE of 21 Karlsruhe Lane, DOCKLANDS VIC 3008",-37.821019,144.9454443,"-37.821019, 144.9454443"
MPM1647244,Yes,Yes,1647244,912A,"Navigation Drive between Bourke Street and Collins Street, approximately 60m East of 83 Geographe Street, DOCKLANDS VIC 3008",-37.8199679,144.9459555,"-37.8199679, 144.9459555"
MPM1647246,Yes,Yes,1647246,668A,"La Trobe Street between Exhibition Street and Russell Street, approximately 28m SE of 20 La Trobe Street, MELBOURNE VIC 3000",-37.8083865,144.9683559,"-37.8083865, 144.9683559"
MPM1647302,Yes,Yes,1647302,128B,"Batman Street between Adderley Street and Spencer Street, approximately 11m West of Part Ground 115 Batman Street, WEST MELBOURNE VIC 3003",-37.8114723,144.9493211,"-37.8114723, 144.9493211"
MPM1647322,Yes,Yes,1647322,587A,"Spencer Street between Jeffcott Street and Batman Street, approximately 14m NW of Curtin House, 384 Spencer Street, WEST MELBOURNE VIC 3003",-37.8114065,144.950771,"-37.8114065, 144.950771"
MPM1647323,Yes,Yes,1647323,587B,"Spencer Street between Jeffcott Street and Batman Street, approximately 3m NE of Ground 371 Spencer Street, WEST MELBOURNE VIC 3003",-37.8115961,144.9505609,"-37.8115961, 144.9505609"
MPM1647326,Yes,Yes,1647326,642A,"Little Bourke Street between Spring Street and Exhibition Street, approximately 26m SW of Secret Kitchen, 58 Little Bourke Street, MELBOURNE VIC 3000",-37.8109903,144.970619,"-37.8109903, 144.970619"
MPM1647327,Yes,Yes,1647327,535B,"Elizabeth Street between Little La Trobe Street and A'Beckett Street, approximately 5m SW of Gotcha, Part 400 Elizabeth Street, MELBOURNE VIC 3000",-37.8094616,144.9610889,"-37.8094616, 144.9610889"
MPM1647331,Yes,Yes,1647331,579B,"Spencer Street between Flinders Street and Flinders Lane, approximately 35m SW of Hotel Indigo Melbourne Flinders, 561-585 Flinders Lane, MELBOURNE VIC 3000",-37.8202893,144.9548656,"-37.8202893, 144.9548656"
MPM1647335,Yes,Yes,1647335,522A,"Russell Street between Lonsdale Street and Little Lonsdale Street, approximately 3m West of Fishing Season, 260-262 Russell Street, MELBOURNE VIC 3000",-37.8103059,144.9671068,"-37.8103059, 144.9671068"
MPM1647336,Yes,Yes,1647336,522B,"Russell Street between Lonsdale Street and Little Lonsdale Street, approximately 5m North of SBT Thai Grocer, 261-265 Russell Street, MELBOURNE VIC 3000",-37.8102038,144.96676,"-37.8102038, 144.96676"
MPM1647337,Yes,Yes,1647337,508A,"Exhibition Street between Flinders Lane and Collins Street, approximately 3m NE of Unit 1, Ground 49 Exhibition Street, MELBOURNE VIC 3000",-37.8147763,144.971669,"-37.8147763, 144.971669"
MPM1647341,Yes,Yes,1647341,514B,"Exhibition Street between Little Lonsdale Street and La Trobe Street, approximately 18m NW of Telstra Corporation Limited, Telstra Exhibition Exchange, 288-308 Exhibition Street, MELBOURNE VIC 3000",-37.8086765,144.9691514,"-37.8086765, 144.9691514"
MPM1647343,Yes,Yes,1647343,709A,"City Road between Balston Street and Kings Way, approximately 28m SE of Kiosk 133 Queens Bridge Street, SOUTHBANK VIC 3006",-37.8253282,144.9606375,"-37.8253282, 144.9606375"
MPM1647345,Yes,Yes,1647345,709C,"City Road between Power Street and Balston Street, approximately 8m NE of Great Asia World, 200 City Road, SOUTHBANK VIC 3006",-37.8245429,144.9615625,"-37.8245429, 144.9615625"
MPM1647348,Yes,Yes,1647348,731A,"Crown Casino Carpark, approximately 65m NE of 93-103 Clarendon Street, SOUTHBANK VIC 3006",-37.8262525,144.9582192,"-37.8262525, 144.9582192"
MPM1647360,Yes,Yes,1647360,573B,"King Street between Little Lonsdale Street and La Trobe Street, approximately 8m SE of William Angliss Institute Of Tafe, 311-315 King Street, MELBOURNE VIC 3000",-37.8131109,144.9540723,"-37.8131109, 144.9540723"
MPM1647366,Yes,Yes,1647366,563C,"William Street between La Trobe Street and A'Beckett Street, approximately 3m NE of Flagstaff Lodge, Flagstaff Gardens, 309 William Street, WEST MELBOURNE VIC 3003",-37.8109065,144.955876,"-37.8109065, 144.955876"
MPM1647369,Yes,Yes,1647369,792A,"Dorcas Street between Wells Street and Dodds Street, approximately 25m East of Fox Sports, 50 Dorcas Street, SOUTHBANK VIC 3006",-37.8305362,144.9687979,"-37.8305362, 144.9687979"
MPM1647371,Yes,Yes,1647371,676A,"MacKenzie Street between Victoria Street and Russell Street, approximately 2m NW of Gnd & Bmt 43 MacKenzie Street, MELBOURNE VIC 3000",-37.8076778,144.9665162,"-37.8076778, 144.9665162"
MPM1647372,Yes,Yes,1647372,755A,"Kavanagh Street between Balston Street and Kings Way, approximately 7m West of 121-125 Kavanagh Street, SOUTHBANK VIC 3006",-37.8263028,144.9618663,"-37.8263028, 144.9618663"
MPM1647374,Yes,Yes,1647374,791A,"Dorcas Street between St Kilda Road and Wells Street, approximately 14m SW of Quest On Dorcas, 8A Dorcas Street, SOUTHBANK VIC 3006",-37.8301486,144.9701124,"-37.8301486, 144.9701124"
MPM1647375,Yes,Yes,1647375,516A,"Russell Street between Flinders Street and Flinders Lane, approximately 32m North of Forum Theatre, 150-162 Flinders Street, MELBOURNE VIC 3000",-37.8164538,144.9696336,"-37.8164538, 144.9696336"
MPM1647376,Yes,Yes,1647376,559B,"William Street between Little Bourke Street and Lonsdale Street, approximately 5m North of 201 William Street, MELBOURNE VIC 3000",-37.8143929,144.957472,"-37.8143929, 144.957472"
MPM1647377,Yes,Yes,1647377,533A,"Elizabeth Street between Lonsdale Street and Little Lonsdale Street, approximately 20m SW of St Francis Church, 326 Lonsdale Street, MELBOURNE VIC 3000",-37.8117661,144.9621441,"-37.8117661, 144.9621441"
MPM1647380,Yes,Yes,1647380,780B,"Moray Street between Hancock Street and West Gate Freeway, approximately 24m West of Nationwide Parking, 31-49 Moray Street, SOUTHBANK VIC 3006",-37.8277539,144.9608513,"-37.8277539, 144.9608513"
MPM1647382,Yes,Yes,1647382,582A,"Spencer Street between Bourke Street and Little Bourke Street, approximately 18m South of City Dental Care, Shop 3, 200 Spencer Street, MELBOURNE VIC 3000",-37.8162941,144.9530295,"-37.8162941, 144.9530295"
MPM1647383,Yes,Yes,1647383,725B,"Queens Bridge Street between Power Street and Kings Way, approximately 11m North of Barnard, Baudinette & Co Pty Ltd, Unit 34, 107 Queens Bridge Street, SOUTHBANK VIC 3006",-37.8246171,144.9605065,"-37.8246171, 144.9605065"
MPM1647384,Yes,Yes,1647384,725A,"Queens Bridge Street between Power Street and Kings Way, approximately 27m South of Part Ground 58 Queens Bridge Street, SOUTHBANK VIC 3006",-37.8243939,144.9603102,"-37.8243939, 144.9603102"
MPM1647390,Yes,Yes,1647390,656D,"Lonsdale Street between William Street and King Street, approximately 4m South of Ground 572 Lonsdale Street, MELBOURNE VIC 3000",-37.8141384,144.9554342,"-37.8141384, 144.9554342"
MPM1647394,Yes,Yes,1647394,655D,"Lonsdale Street between Queen Street and William Street, approximately 65m North of The Supreme Court, 210 William Street, MELBOURNE VIC 3000",-37.8136487,144.9579603,"-37.8136487, 144.9579603"
MPM1647396,Yes,Yes,1647396,664C,"Little Lonsdale Street between William Street and King Street, approximately 13m NW of Lee Sun Seng Food, Shop 1, 535 Little Lonsdale Street, MELBOURNE VIC 3000",-37.8129558,144.9559578,"-37.8129558, 144.9559578"
MPM1647397,Yes,Yes,1647397,525A,"Russell Street between MacKenzie Street and Victoria Street, approximately 14m North of Space Hotel, 380 Russell Street, MELBOURNE VIC 3000",-37.8074804,144.9659281,"-37.8074804, 144.9659281"
MPM1647404,Yes,Yes,1647404,571B,"King Street between Little Bourke Street and Lonsdale Street, approximately 5m North of 213-215 King Street, MELBOURNE VIC 3000",-37.8151652,144.9550212,"-37.8151652, 144.9550212"
MPM1647408,Yes,Yes,1647408,792B,"Dorcas Street between Wells Street and Dodds Street, approximately 17m East of 66 Dorcas Street, SOUTHBANK VIC 3006",-37.8307463,144.9679556,"-37.8307463, 144.9679556"
MPM1647409,Yes,Yes,1647409,706B,"City Road between Southgate Avenue and Sturt Street, approximately 13m West of Bloch, Tenancy 1, Ground 35-47 City Road, SOUTHBANK VIC 3006",-37.8217501,144.9663106,"-37.8217501, 144.9663106"
MPM1647413,Yes,Yes,1647413,672B,"La Trobe Street between Queen Street and Wills Street, approximately 6m SW of Brady Residential Pty Ltd, 394-396 La Trobe Street, MELBOURNE VIC 3000",-37.8111989,144.957962,"-37.8111989, 144.957962"
MPM1647417,Yes,Yes,1647417,569A,"King Street between Little Collins Street and Bourke Street, approximately 3m SW of Project Zero Coffee, Part Ground 140 King Street, MELBOURNE VIC 3000",-37.8168349,144.9560804,"-37.8168349, 144.9560804"
MPM1647421,Yes,Yes,1647421,641B,"Bourke Street between King Street and Spencer Street, approximately 25m West of The Royal Melbourne Hotel, 621-633 Bourke Street, MELBOURNE VIC 3000",-37.8167513,144.9548636,"-37.8167513, 144.9548636"
MPM1647422,Yes,Yes,1647422,941B,"Bourke Street between Wurundjeri Way and Harbour Esplanade, approximately 6m West of The Nixon Hotel, 749-753 Bourke Street, DOCKLANDS VIC 3008",-37.818706,144.9481081,"-37.818706, 144.9481081"
MPM1647426,Yes,Yes,1647426,910B,"Harbour Esplanade between Bourke Street and La Trobe Street, approximately 39m NW of Friends Of Fire, Part Ground 140 Harbour Esplanade, DOCKLANDS VIC 3008",-37.8164183,144.9457007,"-37.8164183, 144.9457007"
MPM1647427,Yes,Yes,1647427,545A,"Queen Street between Lonsdale Street and Little Lonsdale Street, approximately 28m SW of Unit 2, Ground 262 Queen Street, MELBOURNE VIC 3000",-37.8125219,144.9594156,"-37.8125219, 144.9594156"
MPM1647428,Yes,Yes,1647428,545B,"Queen Street between Lonsdale Street and Little Lonsdale Street, approximately 13m NW of 266-270 Queen Street, MELBOURNE VIC 3000",-37.8121969,144.9595635,"-37.8121969, 144.9595635"
MPM1647429,Yes,Yes,1647429,651A,"Lonsdale Street between Exhibition Street and Russell Street, approximately 5m South of Southern Cross University, Level 1-2 & 6, 108 Lonsdale Street, MELBOURNE VIC 3000",-37.810181,144.9690499,"-37.810181, 144.9690499"
MPM1647434,Yes,Yes,1647434,683B,"Franklin Street between Elizabeth Street and Queen Street, approximately 5m SE of Cheaper Car Rentals, Reception Ground 118 Franklin Street, MELBOURNE VIC 3000",-37.8084306,144.9591248,"-37.8084306, 144.9591248"
MPM1647435,Yes,Yes,1647435,683C,"Franklin Street between Elizabeth Street and Queen Street, approximately 28m SE of 142-146 Franklin Street, MELBOURNE VIC 3000",-37.8088446,144.9584748,"-37.8088446, 144.9584748"
MPM1647436,Yes,Yes,1647436,517B,"Russell Street between Flinders Lane and Collins Street, approximately 27m NW of Grand Hyatt Melbourne, 121-131 Collins Street, MELBOURNE VIC 3000",-37.815285,144.9693867,"-37.815285, 144.9693867"
MPM1647443,Yes,Yes,1647443,576A,"King Street between Batman Street and Dudley Street, approximately 14m SE of 439 King Street, WEST MELBOURNE VIC 3003",-37.809916,144.9525746,"-37.809916, 144.9525746"
MPM1647449,Yes,Yes,1647449,720A,"Southgate Avenue between City Road and Riverside Avenue, approximately 23m SE of Quay West Suites Melbourne, Pt Gnd & Pt Lvls 5-15, 26 Southgate Avenue, SOUTHBANK VIC 3006",-37.8204741,144.9676015,"-37.8204741, 144.9676015"
MPM1647452,Yes,Yes,1647452,695B,"Victoria Street between Cardigan Street and Swanston Street, approximately 29m South of Royal Melbourne Institute Of Technology, 110-120 Victoria Street, CARLTON VIC 3053",-37.8068522,144.9637021,"-37.8068522, 144.9637021"
MPM1647454,Yes,Yes,1647454,635C,"Bourke Street between Exhibition Street and Russell Street, approximately 5m South of Paddy Pallin, Ground & Level 1, 152-158 Bourke Street, MELBOURNE VIC 3000",-37.8125437,144.9686641,"-37.8125437, 144.9686641"
MPM1647457,Yes,Yes,1647457,631C,"Little Collins Street between Queen Street and William Street, approximately 11m SE of Roti Bar, 416-418 Little Collins Street, MELBOURNE VIC 3000",-37.816111,144.9607274,"-37.816111, 144.9607274"
MPM1647459,Yes,Yes,1647459,518A,"Russell Street between Collins Street and Little Collins Street, approximately 8m North of Scots Church Trustees, Scots Church, 77-97 Russell Street, MELBOURNE VIC 3000",-37.8143917,144.9686829,"-37.8143917, 144.9686829"
MPM1647461,Yes,Yes,1647461,616B,"Flinders Lane between King Street and Spencer Street, approximately 3m North of Ground 539-545 Flinders Lane, MELBOURNE VIC 3000",-37.8197659,144.9560463,"-37.8197659, 144.9560463"
MPM1647462,Yes,Yes,1647462,524A,"Russell Street between La Trobe Street and MacKenzie Street, approximately 31m NE of RMIT University (City Campus), Building 19, RMIT University, 345-355 Russell Street, MELBOURNE VIC 3000",-37.8080599,144.9660729,"-37.8080599, 144.9660729"
MPM1647463,Yes,Yes,1647463,572A,"King Street between Lonsdale Street and Little Lonsdale Street, approximately 3m SW of Sbriga Espresso, Lot 2, Ground 270 King Street, MELBOURNE VIC 3000",-37.8137635,144.9546681,"-37.8137635, 144.9546681"
MPM1647468,Yes,Yes,1647468,515A,"Exhibition Street between La Trobe Street and Victoria Street, approximately 13m South of Exhibition Street Reserve, Exhibition Street, MELBOURNE VIC 3000",-37.8076202,144.9685699,"-37.8076202, 144.9685699"
MPM1647469,Yes,Yes,1647469,635A,"Bourke Street between Exhibition Street and Russell Street, approximately 10m SW of Seoulo, Shop 1, LwrGround 108 Bourke Street, MELBOURNE VIC 3000",-37.8121864,144.9698638,"-37.8121864, 144.9698638"
MPM1647478,Yes,Yes,1647478,566A,"King Street between Flinders Street and Flinders Lane, approximately 5m West of Gnd & Flr1 20 King Street, MELBOURNE VIC 3000",-37.8197623,144.9574215,"-37.8197623, 144.9574215"
MPM1647484,Yes,Yes,1647484,693B,"Victoria Street between Drummond Street and Lygon Street, approximately 3m North of Victorian Opera Company Ltd, Horticultural Hall, 31-33 Victoria Street, MELBOURNE VIC 3000",-37.8071638,144.966561,"-37.8071638, 144.966561"
MPM1647485,Yes,Yes,1647485,691A,"Victoria Street between La Trobe Street and Rathdowne Street, approximately 39m West of 2 La Trobe Street, MELBOURNE VIC 3000",-37.8074954,144.96965,"-37.8074954, 144.96965"
MPM1647486,Yes,Yes,1647486,541A,"Queen Street between Collins Street and Little Collins Street, approximately 4m NE of IGA Express, Ground 85 Queen Street, MELBOURNE VIC 3000",-37.8164797,144.961233,"-37.8164797, 144.961233"
MPM1647488,Yes,Yes,1647488,541B,"Queen Street between Collins Street and Little Collins Street, approximately 28m NE of Part Ground 95 Queen Street, MELBOURNE VIC 3000",-37.8162183,144.9614092,"-37.8162183, 144.9614092"
MPM1647493,Yes,Yes,1647493,665A,"Little Lonsdale Street between King Street and Spencer Street, approximately 4m North of West Side Wine, 645 Little Lonsdale Street, MELBOURNE VIC 3000",-37.8139995,144.9526287,"-37.8139995, 144.9526287"
MPM1647496,Yes,Yes,1647496,623A,"Collins Street between William Street and King Street, approximately 18m East of Westpac, Shop 1, Ground 520 Collins Street, MELBOURNE VIC 3000",-37.8180165,144.9574929,"-37.8180165, 144.9574929"
MPM1647499,Yes,Yes,1647499,622A,"Collins Street between Queen Street and Market Street, approximately 5m NW of Part Ground & Part Mezzazine, 405-407 Collins Street, MELBOURNE VIC 3000",-37.8172094,144.9609868,"-37.8172094, 144.9609868"
MPM1647500,Yes,Yes,1647500,621A,"Collins Street between Elizabeth Street and Queen Street, approximately 13m SW of Earl Canteen 360 Collins, Shop 4, 360 Collins Street, MELBOURNE VIC 3000",-37.8165956,144.9624141,"-37.8165956, 144.9624141"
MPM1647514,Yes,Yes,1647514,536B,"Elizabeth Street between A'Beckett Street and Franklin Street, approximately 8m SE of Unicorn Cosmetics, Part 441-445 Elizabeth Street, MELBOURNE VIC 3000",-37.8086949,144.9604865,"-37.8086949, 144.9604865"
MPM1647520,Yes,Yes,1647520,613A,"Powercor Building, approximately 1m East of Part Ground 40 Market Street, MELBOURNE VIC 3000",-37.8181849,144.9612285,"-37.8181849, 144.9612285"
MPM1647521,Yes,Yes,1647521,613B,"Flinders Lane between Queen Street and Market Street, approximately 5m East of Telstra Corporation Limited, 376-382 Flinders Lane, MELBOURNE VIC 3000",-37.8180221,144.9615163,"-37.8180221, 144.9615163"
MPM1647522,Yes,Yes,1647522,633A,"Little Collins Street between King Street and Spencer Street, approximately 8m SW of Grand City Tour, Unit G3, 616 Little Collins Street, MELBOURNE VIC 3000",-37.8178186,144.9544075,"-37.8178186, 144.9544075"
MPM1647523,Yes,Yes,1647523,633B,"Little Collins Street between King Street and Spencer Street, approximately 13m NE of Shop 2, 625 Little Collins Street, MELBOURNE VIC 3000",-37.8179316,144.9544349,"-37.8179316, 144.9544349"
MPM1647525,Yes,Yes,1647525,633C,"Little Collins Street between King Street and Spencer Street, approximately 9m NE of The Bottom End, 577-583 Little Collins Street, MELBOURNE VIC 3000",-37.8175856,144.9556207,"-37.8175856, 144.9556207"
MPM1647527,Yes,Yes,1647527,692B,"Victoria Street between Rathdowne Street and Drummond Street, approximately 19m East of ZAP Fitness 24/7, Ground 28 Victoria Street, CARLTON VIC 3053",-37.8071094,144.9681163,"-37.8071094, 144.9681163"
MPM1647532,Yes,Yes,1647532,948A,"Bourke Street between Enterprize Way and Cumberland Street, approximately 5m North of United Workers Union, Part Ground & Level 1-3, 833 Bourke Street, DOCKLANDS VIC 3008",-37.8201028,144.9432506,"-37.8201028, 144.9432506"
MPM1647533,Yes,Yes,1647533,549A,"Queen Street between Franklin Street and Therry Street, approximately 10m North of Upmarket Pets, Ground 440 Queen Street, MELBOURNE VIC 3000",-37.8082648,144.9580571,"-37.8082648, 144.9580571"
MPM1647534,Yes,Yes,1647534,552A,"Market Street between Flinders Lane and Collins Street, approximately 15m South of Astros Cafe & Deli, Unit 1, Ground 50 Market Street, MELBOURNE VIC 3000",-37.8181443,144.960677,"-37.8181443, 144.960677"
MPM1647535,Yes,Yes,1647535,510A,"Exhibition Street between Little Collins Street and Bourke Street, approximately 7m NW of Black Velvet Espresso, Part Ground 136 Exhibition Street, MELBOURNE VIC 3000",-37.8124864,144.9709053,"-37.8124864, 144.9709053"
MPM1647537,Yes,Yes,1647537,790A,"Coventry Street between Dodds Street and Sturt Street, approximately 36m West of Alffie, Part Ground 99 Coventry Street, SOUTHBANK VIC 3006",-37.8300709,144.9660282,"-37.8300709, 144.9660282"
MPM1647538,Yes,Yes,1647538,663A,"Little Lonsdale Street between Queen Street and William Street, approximately 38m East of Hellenic Museum Victoria, Rear 280 William Street, MELBOURNE VIC 3000",-37.812558,144.9574148,"-37.812558, 144.9574148"
MPM1647539,Yes,Yes,1647539,663B,"Little Lonsdale Street between Queen Street and William Street, approximately 21m East of Victoria University, Bmt, Gnd, Mezz, Lvl 1-9 Pt Lvl 10 & Lvl 11-29, 364-378 Little Lonsdale Street, MELBOURNE VIC 3000",-37.8122207,144.9588012,"-37.8122207, 144.9588012"
MPM1647540,Yes,Yes,1647540,626A,"Little Collins Street between Spring Street and Exhibition Street, approximately 17m SW of Parkade, Carpark 34-60 Little Collins Street, MELBOURNE VIC 3000",-37.8128244,144.9719254,"-37.8128244, 144.9719254"
MPM1647542,Yes,Yes,1647542,565A,"Church Street between Bourke Street and Little Collins Street, approximately 19m North of Bela Baguette, Shop 2, Ground 530 Little Collins Street, MELBOURNE VIC 3000",-37.8166454,144.9572928,"-37.8166454, 144.9572928"
MPM1647547,Yes,Yes,1647547,936A,"Point Park, approximately 58m East of 12-14 Point Park Crescent, DOCKLANDS VIC 3008",-37.823207,144.9414546,"-37.823207, 144.9414546"
MPM1647550,Yes,Yes,1647550,544B,"Queen Street between Little Bourke Street and Lonsdale Street, approximately 4m West of Wynns Locksmith, Part Ground 224 Queen Street, MELBOURNE VIC 3000",-37.8133426,144.960089,"-37.8133426, 144.960089"
